coordinate	binary_sha256	source_sha256	source_url
io.dropwizard:dropwizard-core:5.0.2	6f8c4d115b0b9267599873873c31dceb6cf1741ccdcf15044d29d47ab71e60ba	8e0300e344bbaa4a168e6bbf9930fef90551a3dba232b5f0e94dd82726f30e1b	https://repo.maven.apache.org/maven2/io/dropwizard/dropwizard-core/5.0.2/dropwizard-core-5.0.2-sources.jar
io.dropwizard:dropwizard-util:5.0.2	e990ce3954978143aad6a64e8c4e3ebe5c89aa75001a94eb4a82f7d9aa8b5b9b	afc9950697a1164c433a6aaafde4862653531881d32045bc6b7e7218048fda05	https://repo.maven.apache.org/maven2/io/dropwizard/dropwizard-util/5.0.2/dropwizard-util-5.0.2-sources.jar
io.dropwizard:dropwizard-jackson:5.0.2	76456ca16cb44582b862a75cc5755d0f613dea6ec04a2e816724f1e95cb505b7	5dd5e6639d5ba10bb1ad906778921e294bf82d010766708b29aa9f5af6e20700	https://repo.maven.apache.org/maven2/io/dropwizard/dropwizard-jackson/5.0.2/dropwizard-jackson-5.0.2-sources.jar
com.google.guava:guava:33.6.0-jre	dc573e1fca4fd5454f4a5fd3d7da2df03002876a4175bafc14a95980dd7713b3	eff31867dd63a92d63ca856127a424a6836418d8bfa044162cac20430abd3500	https://repo.maven.apache.org/maven2/com/google/guava/guava/33.6.0-jre/guava-33.6.0-jre-sources.jar
com.google.guava:failureaccess:1.0.3	cbfc3906b19b8f55dd7cfd6dfe0aa4532e834250d7f080bd8d211a3e246b59cb	6fef4dfd2eb9f961655f2a3c4ea87c023618d9fcbfb6b104c17862e5afe66b97	https://repo.maven.apache.org/maven2/com/google/guava/failureaccess/1.0.3/failureaccess-1.0.3-sources.jar
com.google.guava:listenablefuture:9999.0-empty-to-avoid-conflict-with-guava	b372a037d4230aa57fbeffdef30fd6123f9c0c2db85d0aced00c91b974f33f99	not-applicable	not-applicable-empty-placeholder
com.fasterxml.jackson.core:jackson-core:2.21.4	4b40a06396f239f8de2da57419adde6e94e5edc18a2171d471ea05eeed4e5c2d	90ccada55626ce4f00a81bde235af0a942ec2bc4c701fcc86a93af1be9b3e08d	https://repo.maven.apache.org/maven2/com/fasterxml/jackson/core/jackson-core/2.21.4/jackson-core-2.21.4-sources.jar
com.fasterxml.jackson.datatype:jackson-datatype-guava:2.21.4	6fa3c09d6a89869a56ba042de642cae629ee6f39b8694d1d16776ae5b36f6323	97d8371d60b6c6fef3c5aed1aeb0b6323fda5036e0e0b13fd9b5ae31d84c9f9e	https://repo.maven.apache.org/maven2/com/fasterxml/jackson/datatype/jackson-datatype-guava/2.21.4/jackson-datatype-guava-2.21.4-sources.jar
com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.21.4	d1ac4b98b70304e56448423589fde5e775b100889643ad1ead62cc7811633684	884a8812af289bb56f38f09a4b3b7b73b4a16dbc184ae735fbe6c4aa1089161f	https://repo.maven.apache.org/maven2/com/fasterxml/jackson/datatype/jackson-datatype-jsr310/2.21.4/jackson-datatype-jsr310-2.21.4-sources.jar
com.fasterxml.jackson.datatype:jackson-datatype-jdk8:2.21.4	2dde4a8f1aad3306c040f56ff40da81c6d58dcef3434c00849c9bce09f56a074	9bf668a180d7b749e3d6f8b03357c390b116716f7051e26a986a08d8ee526b15	https://repo.maven.apache.org/maven2/com/fasterxml/jackson/datatype/jackson-datatype-jdk8/2.21.4/jackson-datatype-jdk8-2.21.4-sources.jar
